"Statistic Label","Year","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2015","Dublin City - houses","Base Jan 2005 = 100","90.1"
"Residential Property Price Index","2015","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","89.1"
"Residential Property Price Index","2015","Fingal - houses","Base Jan 2005 = 100","85.9"
"Residential Property Price Index","2015","South Dublin - houses","Base Jan 2005 = 100","90.8"
"Residential Property Price Index","2015","National excluding Dublin - all residential properties","Base Jan 2005 = 100","70.4"
"Residential Property Price Index","2015","National excluding Dublin - houses","Base Jan 2005 = 100","72"
"Residential Property Price Index","2015","National excluding Dublin - apartments","Base Jan 2005 = 100","49.9"
"Residential Property Price Index","2015","Border excluding Louth - houses","Base Jan 2005 = 100","56.2"
"Residential Property Price Index","2015","Midland - houses","Base Jan 2005 = 100","60.7"
"Residential Property Price Index","2015","West - houses","Base Jan 2005 = 100","62.9"
"Residential Property Price Index","2015","Mid-East including Louth - houses","Base Jan 2005 = 100","84.6"
"Residential Property Price Index","2015","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","63.4"
"Residential Property Price Index","2015","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","69.2"
"Residential Property Price Index","2015","South-West - houses","Base Jan 2005 = 100","77"
"Residential Property Price Index","2016","National - all residential properties","Base Jan 2005 = 100","86"
"Residential Property Price Index","2016","National - houses","Base Jan 2005 = 100","88.9"
"Residential Property Price Index","2016","National - apartments","Base Jan 2005 = 100","69.8"
"Residential Property Price Index","2016","Dublin - all residential properties","Base Jan 2005 = 100","88.7"
"Residential Property Price Index","2016","Dublin - houses","Base Jan 2005 = 100","93.5"
"Residential Property Price Index","2016","Dublin - apartments","Base Jan 2005 = 100","73.7"
"Residential Property Price Index","2016","Dublin City - houses","Base Jan 2005 = 100","93.2"
"Residential Property Price Index","2016","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","94.4"
"Residential Property Price Index","2016","Fingal - houses","Base Jan 2005 = 100","88.7"
"Residential Property Price Index","2016","South Dublin - houses","Base Jan 2005 = 100","91.8"
"Residential Property Price Index","2016","National excluding Dublin - all residential properties","Base Jan 2005 = 100","77.4"
"Residential Property Price Index","2016","National excluding Dublin - houses","Base Jan 2005 = 100","79"
"Residential Property Price Index","2016","National excluding Dublin - apartments","Base Jan 2005 = 100","56.5"
"Residential Property Price Index","2016","Border excluding Louth - houses","Base Jan 2005 = 100","61.3"
"Residential Property Price Index","2016","Midland - houses","Base Jan 2005 = 100","70"
"Residential Property Price Index","2016","West - houses","Base Jan 2005 = 100","70.2"
"Residential Property Price Index","2016","Mid-East including Louth - houses","Base Jan 2005 = 100","89.6"
"Residential Property Price Index","2016","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","69.1"
"Residential Property Price Index","2016","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","75.7"
"Residential Property Price Index","2016","South-West - houses","Base Jan 2005 = 100","85.6"
"Residential Property Price Index","2017","National - all residential properties","Base Jan 2005 = 100","95.4"
"Residential Property Price Index","2017","National - houses","Base Jan 2005 = 100","98.5"
"Residential Property Price Index","2017","National - apartments","Base Jan 2005 = 100","77.5"
"Residential Property Price Index","2017","Dublin - all residential properties","Base Jan 2005 = 100","97.1"
"Residential Property Price Index","2017","Dublin - houses","Base Jan 2005 = 100","102.3"
"Residential Property Price Index","2017","Dublin - apartments","Base Jan 2005 = 100","80.9"
